Moby Dick contains   218454 words.14440	the
   23	spot
   23	speaking
   23	remain
   23	real
   23	passing
   23	pagan
   23	negro
   23	meantime
   23	master
   23	lances
   23	instantly
   23	hot
   23	history
   23	hint
   23	higher
   23	hidden
   23	gazing
   23	french
   23	following
   23	flew
   23	flesh
   23	e
   23	consider
   23	burst
   23	break
   23	ah
   22	wonderful
   22	windward
   22	windlass
   22	terrible
   22	stove
   22	step
   22	souls
   22	sleeping
   22	sitting
   22	sink
   22	sing
   22	seventy
   22	rear
   22	radney
   22	post
   22	original
   22	nantucketer
   22	log
   22	lives
   22	likewise
   22	laid
   22	jolly
   22	jacket
   22	golden
   22	game
   22	formed
   22	filled
   22	empty
   22	east
   22	drew
   22	descried
   22	deadly
   22	dashed
   22	centre
   22	cause
   22	bag
   22	avast
   22	answered
   22	ain
   22	advance
   21	worse
   21	winds
   21	truly
   21	tree
   21	terrors
   21	terror
   21	swim
   21	spare
   21	ribs
   21	repeated
   21	quickly
   21	minutes
   21	magnitude
   21	lofty
   21	invested
   21	holy
   21	hailed
   21	gunwale
   21	gay
   21	evinced
   21	dost
   21	distant
   21	decks
   21	blacksmith
   21	beheld
   21	base
   21	attached
   21	anchor
   21	age
   21	aboard
   20	ways
   20	virtue
   20	thinks
   20	swung
   20	swam
   20	subject
   20	squall
   20	spade
   20	son
   20	slightest
   20	separate
   20	rise
   20	raised
   20	prow
   20	profound
   20	places
   20	past
   20	owners
   20	outer
   20	officers
   20	needs
   20	lying
   20	lowered
   20	lies
   20	lee
   20	law
   20	ishmael
   20	inches
   20	hunter
   20	hollow
   20	hanging
   20	grown
   20	grey
   20	gigantic
   20	gentleman
   20	gabriel
   20	former
   20	follow
   20	floor
   20	fall
   20	fain
   20	everything
   20	england
   20	drive
   20	doubloon
   20	directly
   20	dim
   20	dignity
   20	died
   20	dat
   20	cross
   20	casks
   20	breeze
   20	billows
   20	advancing
   19	whalers
   19	whaler
   19	vicinity
   19	upwards
   19	tomahawk
   19	telling
   19	swiftly
   19	stuff
   19	stone
   19	spermaceti
   19	sorts
   19	solitary
   19	smoking
   19	silence
   19	seat
   19	sake
   19	reached
   19	rapidly
   19	quietly
   19	presently
   19	presented
   19	precise
   19	porpoise
   19	pointing
   19	pitch
   19	picture
   19	pale
   19	ordinary
   19	ones
   19	noon
   19	moreover
   19	met
   19	merely
   19	merchant
   19	meet
   19	leaves
   19	largest
   19	inch
   19	important
   19	ill
   19	hunted
   19	glass
   19	forced
   19	foam
   19	figure
   19	fight
   19	eternal
   19	ends
   19	elephant
   19	eh
   19	dog
   19	deeper
   19	dam
   19	concluded
   19	chiefly
   19	cannibal
   19	bring
   19	beginning
   19	awful
   18	yonder
   18	yard
   18	whereas
   18	voyages
   18	this:
   18	thine
   18	thereby
   18	steward
   18	spite
   18	spirit
   18	sought
   18	seized
   18	rush
   18	roll
   18	revealed
   18	regularly
   18	rate
   18	queen
   18	prodigious
   18	precious
   18	pots
   18	plenty
   18	pieces
   18	perth
   18	period
   18	pay
   18	opposite
   18	nameless
   18	mother
   18	modern
   18	marked
   18	lowering
   18	longer
   18	lo
   18	lips
   18	leave
   18	lead
   18	kings
   18	jump
   18	islands
   18	interest
   18	intense
   18	instance
   18	inside
   18	horizon
   18	hook
   18	hill
   18	height
   18	guess
   18	gives
   18	floated
   18	flag
   18	example
   18	evening
   18	engaged
   18	dropping
   18	drink
   18	delight
   18	crown
   18	crossing
   18	content
   18	christian
   18	children
   18	chains
   18	careful
   18	breath
   18	brave
   18	beef
   18	bedford
   18	beach
   18	atlantic
   17	yojo
   17	wound
   17	whence
   17	west
   17	weight
   17	understand
   17	trying
   17	trunk
   17	thrust
   17	thin
   17	tackles
   17	starboard
   17	spine
   17	solid
   17	sixty
   17	shouted
   17	shape
   17	rushing
   17	row
   17	rocks
   17	ring
   17	remember
   17	race
   17	previously
   17	plank
   17	originally
   17	observed
   17	oarsmen
   17	neck
   17	native
   17	mystic
   17	motion
   17	months
   17	minute
   17	mentioned
   17	meaning
   17	madness
   17	lifted
   17	leviathans
   17	laugh
   17	joy
   17	isles
   17	irons
   17	inserted
   17	impossible
   17	immediately
   17	hussey
   17	hitherto
   17	hell
